train_sizes,train_mean,train_std,test_mean,test_std
88,0.9654550107040165,0.017186147570780363,0.3967551751417956,0.058955320273266575
167,0.9612582281732036,0.02501910947718076,0.4088921557751979,0.04869787241694348
246,0.7316831005149794,0.022198819219827182,0.589817475664959,0.0349516551987504
325,0.7558927072355002,0.02627072025096408,0.6011096061164471,0.034350213391026896
404,0.6281032560824886,0.05000214605924993,0.5191619772955184,0.06892085226335379
484,0.7192285994615358,0.03871070878700461,0.5647073335351549,0.0353289942761738
563,0.7235875262169276,0.024957576142036517,0.5903976113744036,0.024572418950543858
642,0.7129886623492194,0.010512792587876343,0.6102950457063001,0.023930042106185614
721,0.7021730109687732,0.0036249543169036163,0.6042004072220463,0.021426469568957458
800,0.6987430538526832,0.012732404260112436,0.5988295199872697,0.019764857164324273
880,0.6631669505799309,0.004063130547123454,0.6193919629261324,0.03153550042055854
1760,0.625932164795576,0.016659647689823483,0.6394203815412606,0.033151196371015754
2640,0.6198326155751082,0.017123416078463922,0.6418920541151372,0.032434698384972226
3520,0.6242386892554201,0.012363267759086766,0.6428743902512963,0.03215538592365399
4400,0.6343223687776554,0.009095544397780857,0.6430940718651128,0.03324666384467495
5280,0.6452551114747027,0.015771151386646545,0.6436285102689794,0.03431563237621201
6160,0.6500967074154216,0.018169537104543648,0.6432442197503332,0.032975908535494404
7040,0.6490027487469143,0.011609776607039131,0.6441370942896564,0.031481012410323854
7920,0.6487243684628694,0.010205404153477112,0.6449317234979413,0.032150793027706945
8800,0.6506144950165558,0.008215567835774592,0.6443370954429962,0.03204531009627169
