param_hidden_layer_sizes,mean_train_r2,mean_test_r2,size
"(50, 100, 50)",0.4960333939763145,0.44303054413335535,3000
"(100, 100, 100)",0.6083163415620142,0.5390232946078726,3000
"(100, 100, 100, 100)",0.660077984771368,0.5654593893284886,3000
"(100, 200, 100)",0.6094487259834608,0.5331576477992436,3000
"(200, 200, 200)",0.5906164118981161,0.5199229398070716,3000
"(100, 150, 150, 100)",0.6144269668082577,0.5310201878184855,3000
"(100, 150, 200, 100, 32)",0.6055437659880294,0.5095010650819869,3000
"(100, 200, 100)",identity,0.1250176798888108,0.12187067294440387,3000
"(200, 200, 200)",identity,0.4403387248347347,0.43379446647744063,3000
"(100, 150, 150, 100)",identity,0.4560064798059428,0.4507957557489596,3000
"(100, 150, 200, 100, 32)",identity,0.4475735186235922,0.4436057729992502,3000
"(100, 200, 100)",logistic,0.5304582751922953,0.5174727514933173,3000
"(200, 200, 200)",logistic,0.5259761156796062,0.5130028897152611,3000
"(100, 150, 150, 100)",logistic,0.5606330778620727,0.5470085585306327,3000
"(100, 150, 200, 100, 32)",logistic,0.5733765672179695,0.5577428986491002,3000
"(100, 200, 100)",tanh,0.5929963269972177,0.5497292958643802,3000
"(200, 200, 200)",tanh,0.556905718616143,0.5353690081871926,3000
"(100, 150, 150, 100)",tanh,0.6093389003863493,0.5667830043099105,3000
"(100, 150, 200, 100, 32)",tanh,0.6261164983663384,0.5719008259663102,3000
"(100, 100, 100)",identity,0.4092822843244533,0.4014869225132,3000
"(100, 100, 100, 100)",identity,0.4387631049455966,0.42860954041209276,3000
"(50, 50, 50, 50)",identity,0.3794881110477199,0.3799123229212603,3000
"(100, 100, 100)",logistic,0.5352248705203694,0.5264832827434163,3000
"(100, 100, 100, 100)",logistic,0.552869954653398,0.5396088875263044,3000
"(50, 50, 50, 50)",logistic,0.5658308481219644,0.5516310744026607,3000
"(100, 100, 100)",tanh,0.5650189610594195,0.5354947591193998,3000
"(100, 100, 100, 100)",tanh,0.6387460011266844,0.5826967240204592,3000
"(50, 50, 50, 50)",tanh,0.6483443989717296,0.5931126286656269,3000
"(150, 150, 150, 150)",tanh,0.5713317393651766,0.5338680100769153,3000
"(100, 100, 100, 100, 100)",tanh,0.6442061445504587,0.5821009007528137,3000
"(1000, 1000, 1000)",tanh,0.5466892598224147,0.521125151460803,3000
"(150, 150, 150, 150)",relu,0.6694408263259477,0.5582490765767127,3000
"(100, 100, 100, 100, 100)",relu,0.6294695325591347,0.5413068235491159,3000
"(1000, 1000, 1000)",relu,0.5937515046386024,0.5376599990778745,3000
